INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonthNum,YearNum,MonYrAxis,firstAppear,Num_Vic,Odd_Even_Vic
10333325,2/4/2006,3:30:00,3 AM,BRONX,FALSE,40.8110197,-73.85587676,1,1,0,1,1,1,1,1,2/1/2006,2,6,38749,1,4,FALSE
11118201,4/20/2006,22:49:00,10 PM,BRONX,FALSE,40.87016769,-73.89097777,1,1,0,1,1,1,1,1,4/1/2006,4,6,38808,1,6,FALSE
11118204,4/21/2006,18:20:00,6 PM,BROOKLYN,TRUE,40.6725737,-73.91017798,1,0,1,1,1,1,1,1,4/1/2006,4,6,38808,1,4,FALSE
11118244,4/30/2006,19:00:00,7 PM,STATEN ISLAND,FALSE,40.62141693,-74.08007761,1,1,0,1,1,1,1,1,4/1/2006,4,6,38808,1,4,FALSE
12835953,5/5/2006,21:00:00,9 PM,BROOKLYN,FALSE,40.64830792,-73.89553721,1,1,0,1,1,1,1,1,5/1/2006,5,6,38838,1,4,FALSE
23354084,7/1/2006,4:30:00,4 AM,BRONX,TRUE,40.8161219,-73.8977578,1,0,1,1,1,1,1,1,7/1/2006,7,6,38899,1,4,FALSE
23549335,7/24/2006,21:43:00,9 PM,BRONX,FALSE,40.87378747,-73.88583232,1,1,0,1,1,1,1,1,7/1/2006,7,6,38899,1,4,FALSE
23749375,8/7/2006,22:06:00,10 PM,BROOKLYN,FALSE,40.69716883,-73.94374542,1,1,0,1,1,1,0,1,8/1/2006,8,6,38930,1,6,FALSE
23957542,8/20/2006,5:16:00,5 AM,BROOKLYN,TRUE,40.67579297,-73.90268057,1,0,1,1,1,1,1,1,8/1/2006,8,6,38930,1,4,FALSE
24129967,9/2/2006,15:45:00,3 PM,BRONX,FALSE,40.84934744,-73.91686928,1,1,0,1,1,1,1,1,9/1/2006,9,6,38961,1,4,FALSE
24157445,9/4/2006,1:30:00,1 AM,BROOKLYN,TRUE,40.6742456,-73.94869873,1,0,1,1,1,1,1,1,9/1/2006,9,6,38961,1,4,FALSE
24449551,9/22/2006,21:18:00,9 PM,BRONX,FALSE,40.88367967,-73.83345068,1,1,0,1,1,1,1,1,9/1/2006,9,6,38961,1,4,FALSE
24717013,10/9/2006,19:41:00,7 PM,STATEN ISLAND,FALSE,40.63898538,-74.17125343,1,1,0,1,1,1,0,1,10/1/2006,10,6,38991,1,6,FALSE
25095840,10/31/2006,21:48:00,9 PM,BRONX,FALSE,40.85837373,-73.8994005,1,1,0,1,1,1,1,1,10/1/2006,10,6,38991,1,8,FALSE
25452379,11/23/2006,22:47:00,10 PM,MANHATTAN,TRUE,40.8399082,-73.93608359,1,0,1,1,1,1,1,1,11/1/2006,11,6,39022,1,4,FALSE
25490114,11/25/2006,4:37:00,4 AM,BROOKLYN,FALSE,40.69773151,-73.93657511,1,1,0,1,1,1,1,1,11/1/2006,11,6,39022,1,4,FALSE
25607887,12/4/2006,19:30:00,7 PM,MANHATTAN,FALSE,40.79853293,-73.96525489,1,1,0,1,1,1,1,1,12/1/2006,12,6,39052,1,4,FALSE
25625020,12/5/2006,17:29:00,5 PM,BRONX,FALSE,40.84316356,-73.90680305,1,1,0,1,1,1,1,1,12/1/2006,12,6,39052,1,6,FALSE
